@relation features-weka.filters.unsupervised.attribute.Remove-R6-7

@attribute doesHaveLinks {False,True}
@attribute doesHaveSpammyWords {False,True}
@attribute lengthOfText numeric
@attribute numberOfSymbols numeric
@attribute numberOfWordsContainingLettersAndNumbers numeric
@attribute classlabel {ham,spam}

@data
False,False,111,9,0,ham
False,False,29,6,0,ham
False,True,155,6,1,spam
False,False,49,6,0,ham
False,False,61,2,0,ham
False,True,149,8,0,spam
False,False,77,2,0,ham
False,False,160,6,0,ham
False,True,159,6,0,spam
False,True,154,2,0,spam
False,False,109,6,0,ham
False,True,136,8,1,spam
False,True,157,8,1,spam
False,False,196,4,0,ham
False,False,35,2,0,ham
True,True,149,11,0,spam
False,False,26,6,0,ham
False,False,81,5,0,ham
False,False,66,1,0,ham
False,False,156,8,1,spam
False,False,41,1,0,ham
False,False,55,0,0,ham
False,False,55,7,0,ham
False,False,88,3,0,ham
False,False,57,2,0,ham
False,False,144,7,0,ham
False,False,30,1,0,ham
False,False,134,6,0,ham
False,False,75,7,0,ham
False,False,64,4,0,ham
False,False,130,4,0,ham
False,False,189,7,0,ham
False,False,29,1,0,ham
False,False,84,1,0,ham
False,True,160,2,0,spam
False,False,125,7,2,ham
False,False,47,3,0,ham
False,False,28,0,0,ham
False,False,27,6,0,ham
False,False,155,7,0,ham
False,False,82,3,0,ham
False,False,142,15,0,ham
False,True,172,5,0,spam
False,False,19,1,0,ham
False,False,72,10,0,ham
False,False,32,4,0,ham
False,False,45,2,0,ham
False,False,31,2,0,ham
False,False,67,2,0,ham
False,False,148,7,0,ham
False,False,58,2,0,ham
False,False,124,11,0,ham
False,False,80,1,0,ham
False,False,289,14,0,ham
False,False,120,5,0,spam
False,False,76,6,0,ham
False,False,161,12,0,spam
False,False,34,3,0,ham
False,False,22,0,0,ham
False,False,40,3,0,ham
False,False,108,5,0,ham
False,False,48,2,0,ham
False,False,25,0,0,ham
False,False,56,2,0,ham
False,False,110,2,0,ham
False,False,154,3,0,spam
False,False,122,8,0,ham
False,True,163,10,2,spam
False,False,78,5,0,spam
False,False,34,1,0,ham
False,False,46,9,0,ham
False,False,29,1,0,ham
False,False,45,1,0,ham
False,False,42,6,0,ham
False,False,20,3,0,ham
False,False,43,2,0,ham
False,False,73,2,0,ham
False,False,50,3,0,ham
False,False,42,5,0,ham
False,False,76,4,0,ham
False,False,22,2,0,ham
False,False,32,2,0,ham
False,False,32,0,0,ham
False,False,36,0,0,ham
False,False,14,1,0,ham
False,False,55,5,0,ham
False,False,121,4,0,ham
False,True,144,4,0,ham
False,False,42,1,0,ham
False,False,41,5,0,ham
False,False,74,3,0,ham
False,False,195,5,1,ham
False,False,141,2,1,ham
False,True,141,2,0,spam
False,False,107,3,0,ham
False,False,124,5,0,spam
False,False,33,3,0,ham
False,False,51,1,0,ham
False,False,696,31,1,ham
False,False,44,0,0,ham
False,False,95,2,0,ham
False,True,43,2,0,ham
False,False,82,1,0,ham
False,False,115,6,0,ham
False,False,30,3,0,ham
False,False,40,1,0,ham
False,False,31,2,0,ham
False,False,96,4,0,ham
False,True,160,6,2,spam
False,False,143,15,0,ham
False,False,156,13,0,ham
False,True,154,7,0,spam
False,False,72,4,0,ham
False,False,86,6,0,ham
False,True,144,3,0,spam
False,False,158,6,1,spam
False,False,53,3,0,ham
False,True,156,2,0,spam
False,False,52,1,0,ham
False,False,46,3,0,ham
False,False,20,2,0,ham
False,False,244,9,0,ham
False,False,22,1,0,ham
False,False,107,4,0,ham
False,False,28,5,0,ham
False,False,9,2,0,ham
False,False,39,3,0,ham
False,False,25,1,0,ham
False,False,127,5,0,spam
False,False,162,8,0,spam
False,False,38,4,0,ham
False,False,34,1,0,ham
False,False,46,1,0,ham
False,True,155,4,0,spam
False,False,88,13,0,ham
False,False,33,2,0,ham
False,False,27,2,0,ham
False,False,156,9,1,ham
False,False,42,2,0,ham
False,False,25,0,0,ham
False,False,48,1,0,ham
False,True,159,7,1,spam
False,False,84,3,0,ham
False,False,33,3,0,ham
False,False,30,2,0,ham
False,False,45,3,0,ham
False,False,59,1,0,ham
False,False,25,6,0,ham
False,False,160,6,0,ham
False,False,384,16,0,ham
False,False,28,1,0,ham
False,False,27,4,0,ham
False,False,157,8,0,ham
False,False,124,2,0,spam
False,True,147,3,0,spam
False,False,115,1,0,ham
False,False,64,5,0,ham
False,False,85,5,0,ham
False,False,152,13,0,spam
